0.1  30.152 0 0  0 -0  -0
0.178  30.152 0.737482 0  0 -0.0508935  -0.00849641
0.316  30.152 2.19351 0  0 0.0174183  0.0029079
0.562  30.152 3.12119 1.37804  0 2.92208  0.487826
1  30.152 10.5172 3.12938  0 9.80798  1.63739
1.78  30.152 22.6973 12.1252  4.77166 48.1883  8.04479
3.16  30.152 18.5806 13.0627  8.11484 52.5688  8.77609
5.62  30.152 16.4704 15.3055  21.4867 81.8355  13.662
10  30.152 6.05519 15.4016  21.3056 74.5056  12.4383
17.8  30.152 10.6379 4.58776  26.055 64.9156  10.8373
31.6  30.152 1.97701 3.9374  21.75 51.3689  8.57578
56.2  30.152 4.28981 1.64333  10.9062 25.5559  4.26643
100  30.152 0.0847705 0.201793  3.55975 7.51409  1.25444
178  30.152 0.36041 0.656729  1.56441 4.40975  0.736185
316  30.152 0 0  1.89227 3.78453  0.631809
562  30.152 0 0  1.76607 3.53214  0.589672
1000  30.152 0 0  0.599283 1.19857  0.200094
