0.1  25.182 0 0  0 -0  -0
0.178  25.182 0.749612 0  0 -0.0512254  -0.00855183
0.316  25.182 1.02154 0  0 -0.05453  -0.00910351
0.562  25.182 0.749612 0  0 -0.0512254  -0.00855183
1  25.182 4.55863 0.928843  0 2.3966  0.4001
1.78  25.182 6.85317 2.27337  1.41863 8.83102  1.47429
3.16  25.182 5.5506 3.26177  1.94653 11.3042  1.88718
5.62  25.182 6.24382 3.77186  6.23806 21.1915  3.53781
10  25.182 1.60015 4.38478  6.70511 22.1438  3.6968
17.8  25.182 4.74793 1.30439  9.74412 22.697  3.78915
31.6  25.182 1.96917 1.42135  3.12867 9.09331  1.51808
56.2  25.182 1.44432 0.292401  2.67438 5.88924  0.983179
100  25.182 0 0  0.317928 0.635856  0.106153
178  25.182 0 0  0.474988 0.949975  0.158594
316  25.182 0 0  0 -0  -0
562  25.182 0 0  0.478057 0.956113  0.
1000  25.182 0 0  0 -0  -0
