0.1  40.1143 0 0  0 -0  -0
0.178  40.1143 2.3468 0  0 0.036628  0.00611485
0.316  40.1143 11.8602 0  0 4.4865  0.748999
0.562  40.1143 20.6189 7.22539  1.32011 29.3207  4.89495
1  40.1143 39.0601 11.7596  1.18977 60.177  10.0462
1.78  40.1143 71.2029 31.4974  11.9862 168.552  28.139
3.16  40.1143 76.8101 43.7462  24.3208 226.617  37.8326
5.62  40.1143 65.4144 50.803  69.4689 313.101  52.2707
10  40.1143 44.3214 51.6356  84.4932 313.707  52.3718
17.8  40.1143 32.8029 35.7113  105.778 309.156  51.612
31.6  40.1143 19.1994 22.553  76.4893 208.898  34.8745
56.2  40.1143 12.1789 12.9005  49.7573 130.036  21.7089
100  40.1143 4.56413 5.82695  22.9492 58.0929  9.69831
178  40.1143 3.25073 3.78184  8.89604 25.5485  4.26519
316  40.1143 0.917334 1.3654  6.73485 16.1463  2.69554
562  40.1143 0 0  5.30049 10.601  1.76978
1000  40.1143 0 0  1.15005 2.3001  0.383991
